County,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr,Virginia City/County Boundaries,LAT,LON,MTW Status,Pop2010,OHU2010,NUMGQTRS,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lalowihalf,lakidshalf,laseniorshalf,lawhitehalf,lablackhalf,laasianhalf,lanhopihalf,laaianhalf,laomultirhalf,lahisphalf,lahunvhalf,lasnaphalf,lapop1,lalowi1,lakids1,laseniors1,lawhite1,lablack1,laasian1,lanhopi1,laaian1,laomultir1,lahisp1,lahunv1,lasnap1,lapop10,lalowi10,lakids10,laseniors10,lawhite10,lablack10,laasian10,lanhopi10,laaian10,laomultir10,lahisp10,lahunv10,lasnap10,lapop20,lalowi20,lakids20,laseniors20,lawhite20,lablack20,laasian20,lanhopi20,laaian20,laomultir20,lahisp20,lahunv20,lasnap20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,PCTGQTRS,PovertyRate,MedianFamilyIncome,Urban,GroupQuartersFlag,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,lapophalfshare,lalowihalfshare,lakidshalfshare,laseniorshalfshare,lawhitehalfshare,lablackhalfshare,laasianhalfshare,lanhopihalfshare,laaianhalfshare,laomultirhalfshare,lahisphalfshare,lahunvhalfshare,lasnaphalfshare,lapop1share,lalowi1share,lakids1share,laseniors1share,lawhite1share,lablack1share,laasian1share,lanhopi1share,laaian1share,laomultir1share,lahisp1share,lahunv1share,lasnap1share,lapop10share,lalowi10share,lakids10share,laseniors10share,lawhite10share,lablack10share,laasian10share,lanhopi10share,laaian10share,laomultir10share,lahisp10share,lahunv10share,lasnap10share,lapop20share,lalowi20share,lakids20share,laseniors20share,lawhite20share,lablack20share,laasian20share,lanhopi20share,laaian20share,laomultir20share,lahisp20share,lahunv20share,lasnap20share
Gloucester County,10113.0,30294.0,1304830.0,540.0,11810.0,588.0,37.40354130000001,-76.52350509999998,Matching and updated,36858.0,14293.0,368.0,2042.0,4109.0,2042.0,575.0,1101.0,575.0,33401.0,7303.0,7374.0,4862.0,29263.0,2805.0,238.0,15.0,131.0,949.0,833.0,424.0,917.0,28540.0,6106.0,6363.0,4014.0,25056.0,2364.0,201.0,14.0,119.0,789.0,699.0,272.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7985.0,8140.0,5410.0,32149.0,3197.0,286.0,15.0,139.0,1072.0,935.0,599.0,1036.0,1.1212499999999999,9.825,78498.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.32375,21.333750000000002,19.325,14.059999999999999,79.52250000000001,7.23,0.67625,0.035,0.32875,2.5324999999999998,2.1825,2.9375,6.63375,77.35374999999999,18.075000000000003,16.6175,11.717500000000001,68.35875,5.9925,0.5774999999999999,0.0325,0.29500000000000004,2.09625,1.8262500000000002,1.9387500000000002,5.675000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Goochland County,556.0,15026.0,473730.0,0.0,0.0,408.0,37.724165500000005,-77.9142733,Matching and updated,21717.0,7998.0,1405.0,1996.0,1996.0,0.0,516.0,516.0,0.0,21395.0,3936.0,4327.0,3186.0,16535.0,4160.0,216.0,4.0,53.0,427.0,448.0,166.0,448.0,20295.0,3800.0,4069.0,3012.0,15601.0,4058.0,190.0,3.0,51.0,391.0,409.0,159.0,427.0,1996.0,516.0,432.0,251.0,1557.0,368.0,19.0,0.0,12.0,40.0,46.0,12.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3633.0,4400.0,3237.0,16820.0,4180.0,225.0,4.0,54.0,434.0,455.0,159.0,450.0,18.602,6.539999999999999,100867.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.9,19.2,17.369999999999997,12.676000000000002,70.958,25.159999999999997,0.8,0.016,0.252,1.7120000000000002,1.904,3.2540000000000004,4.7379999999999995,95.018,18.704,16.468,12.070000000000002,67.65400000000001,24.810000000000002,0.7140000000000001,0.016,0.23200000000000004,1.5900000000000003,1.77,3.0439999999999996,4.556,46.83,12.1,10.14,5.88,36.53,8.63,0.45,0.0,0.29,0.93,1.07,0.74,4.29,,,,,,,,,,,,,
Grayson County,7887.0,22873.0,239289.13,0.0,0.0,1608.0,36.6563026,-81.22533650000001,Matching and updated,15533.0,6846.0,178.0,2810.0,2810.0,0.0,1405.0,1405.0,0.0,15153.0,6761.0,2875.0,3174.0,14469.0,297.0,16.0,3.0,30.0,339.0,396.0,423.0,863.0,14555.0,6526.0,2779.0,2973.0,13936.0,256.0,16.0,3.0,27.0,318.0,372.0,406.0,824.0,2810.0,1405.0,498.0,641.0,2732.0,21.0,4.0,0.0,7.0,45.0,58.0,83.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6745.0,2950.0,3259.0,14802.0,320.0,16.0,3.0,31.0,361.0,416.0,412.0,863.0,1.28,20.52,45606.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.526,44.458000000000006,18.342,20.698,93.26,1.834,0.1,0.014000000000000002,0.184,2.132,2.4959999999999996,6.374,12.402000000000001,93.738,42.948,17.736,19.422,89.89,1.5699999999999998,0.1,0.014000000000000002,0.16999999999999998,1.9919999999999998,2.348,6.103999999999999,11.846,40.20333333333333,20.30333333333333,7.176666666666666,9.113333333333333,39.17666666666667,0.3033333333333333,0.049999999999999996,0.0,0.09000000000000001,0.5766666666666667,0.7733333333333334,2.5933333333333333,3.606666666666667,,,,,,,,,,,,,
Greene County,4399.0,10967.0,459305.8599999999,639.0,7509.0,384.0,38.2979805,-78.4701629,Matching and updated,18403.0,6780.0,137.0,5080.0,7980.0,5080.0,1200.0,1929.0,1200.0,16799.0,4976.0,4183.0,2122.0,14853.0,983.0,227.0,3.0,39.0,696.0,671.0,183.0,473.0,13192.0,4008.0,3266.0,1593.0,11869.0,663.0,129.0,3.0,31.0,498.0,444.0,156.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5641.0,4591.0,2345.0,16123.0,1167.0,258.0,3.0,43.0,809.0,781.0,208.0,549.0,1.16,6.966666666666668,71947.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.98666666666666,28.69333333333334,22.179999999999996,12.556666666666667,82.07333333333334,5.29,1.0,0.013333333333333334,0.20333333333333334,3.403333333333333,3.1366666666666667,3.213333333333333,7.3999999999999995,75.56333333333333,24.066666666666666,18.163333333333334,9.723333333333334,68.61999999999999,3.5199999999999996,0.6333333333333333,0.013333333333333334,0.17,2.606666666666667,2.216666666666667,2.736666666666667,6.283333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Greensville County,1002.0,3540.0,1579015.0,0.0,0.0,168.0,36.6802247,-77.56026069999999,Matching and updated,12243.0,3566.0,3527.0,83.0,83.0,0.0,31.0,31.0,0.0,12240.0,3907.0,2005.0,1537.0,4716.0,7321.0,35.0,1.0,24.0,144.0,173.0,277.0,697.0,11972.0,3783.0,1942.0,1478.0,4604.0,7173.0,34.0,1.0,24.0,138.0,169.0,269.0,685.0,83.0,31.0,13.0,24.0,62.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3754.0,2006.0,1537.0,4718.0,7321.0,35.0,1.0,24.0,144.0,173.0,288.0,691.0,35.27,11.033333333333331,56618.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98,28.94666666666667,14.89,11.62,37.85666666666666,60.54999999999999,0.28,0.01,0.18666666666666668,1.0966666666666667,1.42,5.09,12.653333333333334,97.94666666666667,28.01,14.416666666666666,11.173333333333334,36.99333333333333,59.43333333333334,0.2733333333333334,0.01,0.18000000000000002,1.0533333333333335,1.39,4.933333333333333,12.413333333333332,0.9299999999999999,0.34,0.15000000000000002,0.26,0.7,0.22999999999999998,0.0,0.0,0.0,0.005,0.0,0.02666666666666667,0.15,,,,,,,,,,,,0.0,0.0
Halifax County,3671.0,11160.0,255447.0,0.0,0.0,1296.0,36.766461,-78.93961420000001,Matching and updated,36241.0,15085.0,738.0,10756.0,15089.0,4068.0,3750.0,5698.0,1625.0,33913.0,12394.0,7461.0,6432.0,20877.0,12160.0,126.0,6.0,94.0,648.0,536.0,1077.0,1844.0,28668.0,10199.0,6232.0,5399.0,18064.0,9938.0,96.0,6.0,83.0,482.0,390.0,872.0,1553.0,6688.0,2125.0,1431.0,1285.0,4003.0,2547.0,5.0,1.0,29.0,103.0,89.0,203.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12489.0,7983.0,7019.0,22011.0,13293.0,133.0,6.0,103.0,695.0,587.0,1086.0,1814.0,1.3555555555555556,14.866666666666665,56244.333333333336,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,94.71444444444445,34.36666666666666,20.790000000000003,17.97222222222222,58.50555555555555,33.74777777777777,0.3277777777777778,0.02,0.26555555555555554,1.8466666666666665,1.51,7.038888888888889,12.372222222222222,82.24777777777777,29.10111111111111,17.816666666666666,15.586666666666666,51.665555555555564,28.646666666666665,0.25111111111111106,0.02,0.23888888888888882,1.4277777777777778,1.1422222222222222,5.952222222222222,10.726666666666667,29.868571428571425,9.297142857142857,6.365714285714286,5.797142857142858,17.645714285714284,11.602857142857143,0.018571428571428572,0.005714285714285714,0.13142857142857142,0.4642857142857143,0.4071428571428571,2.1414285714285715,4.33,,,,,,,,,,,,,
Hampton City,20258.0,51012.0,3145706.0,4230.0,93152.0,996.0,37.0480303,-76.2971486,Matching and updated,137436.0,55031.0,4454.0,34294.0,96979.0,34294.0,9628.0,30927.0,9628.0,96979.0,30927.0,21587.0,11767.0,43138.0,46433.0,2175.0,109.0,402.0,4727.0,4325.0,2987.0,4212.0,34294.0,9628.0,7863.0,3853.0,15948.0,15619.0,928.0,38.0,125.0,1631.0,1521.0,933.0,1182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42742.0,31274.0,16856.0,58642.0,68104.0,2992.0,154.0,594.0,6950.0,6241.0,4747.0,6530.0,5.328181818181818,17.87878787878788,64007.36363636364,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,69.98060606060605,22.903030303030306,15.404848484848484,7.8100000000000005,31.049090909090907,33.66969696969697,1.4051515151515153,0.10636363636363637,0.2715151515151515,3.479393939393939,3.3793939393939394,6.543939393939395,7.7272727272727275,36.208260869565216,10.139999999999999,8.242173913043478,3.3995652173913045,17.958695652173912,15.36521739130435,0.8660869565217391,0.08260869565217391,0.12217391304347829,1.8130434782608698,1.9508695652173913,2.862173913043478,3.1230434782608696,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanover County,6930.0,38676.0,43661.0,0.0,0.0,984.0,37.7601655,-77.4909916,Matching and updated,99863.0,36589.0,1980.0,25219.0,47414.0,25219.0,3966.0,7295.0,3966.0,87642.0,12451.0,22086.0,11551.0,76505.0,7853.0,1140.0,36.0,294.0,1812.0,1644.0,746.0,1335.0,64253.0,8966.0,15874.0,8579.0,56416.0,5652.0,697.0,28.0,223.0,1239.0,1087.0,484.0,927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14632.0,24998.0,13104.0,86550.0,9304.0,1351.0,39.0,368.0,2251.0,2116.0,950.0,1654.0,2.31,6.0652173913043494,101080.43478260869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,88.70260869565217,13.139130434782608,21.877826086956524,12.05173913043478,77.45608695652173,8.030869565217392,1.0478260869565217,0.03434782608695653,0.3056521739130435,1.8295652173913042,1.6760869565217391,1.996956521739131,3.6947826086956517,67.39391304347826,9.599130434782609,16.36130434782609,9.188695652173914,59.30217391304347,5.841739130434783,0.694782608695652,0.02956521739130435,0.23608695652173917,1.2895652173913044,1.145217391304348,1.2869565217391303,2.6434782608695655,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisonburg City,27875.0,90370.0,1786095.9000000004,1802.0,30576.0,252.0,38.43166939999999,-78.8760274,Matching and updated,48914.0,15988.0,7583.0,1924.0,22164.0,1924.0,721.0,8169.0,721.0,22164.0,8169.0,3092.0,1426.0,17661.0,1372.0,925.0,42.0,43.0,2122.0,2843.0,407.0,829.0,1924.0,721.0,375.0,82.0,1452.0,155.0,55.0,1.0,2.0,258.0,348.0,59.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22907.0,7348.0,4033.0,38371.0,3112.0,1718.0,62.0,127.0,5524.0,7665.0,1520.0,2242.0,14.350000000000001,24.172727272727276,67305.36363636363,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,48.38090909090909,16.732727272727274,6.927272727272728,3.5509090909090903,39.048181818181824,2.831818181818182,1.9590909090909092,0.08545454545454546,0.08636363636363636,4.369090909090909,5.867272727272726,2.290909090909091,4.488181818181818,7.69,2.761428571428571,1.6457142857142857,0.39714285714285713,6.004285714285714,0.5557142857142857,0.2,0.002857142857142857,0.0071428571428571435,0.9214285714285714,1.2314285714285713,0.5414285714285714,1.122857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrico County,21916.0,112330.0,459326.0,0.0,0.0,989.0,37.4375205,-77.30033299999997,Matching and updated,306935.0,124601.0,2494.0,82628.0,200867.0,82628.0,14505.0,43634.0,14505.0,220202.0,46708.0,54115.0,28159.0,135847.0,62900.0,12530.0,76.0,701.0,8137.0,8658.0,4768.0,6529.0,99974.0,17256.0,25453.0,12282.0,64512.0,27266.0,4571.0,23.0,362.0,3236.0,3270.0,1625.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73555.0,74372.0,37924.0,181719.0,90669.0,20052.0,127.0,1012.0,13356.0,15001.0,7151.0,9639.0,1.165555555555556,10.438095238095238,88771.79365079365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,69.72047619047619,15.567460317460316,16.516349206349204,9.38365079365079,44.38507936507936,18.854126984126985,3.468253968253968,0.028888888888888895,0.23301587301587307,2.7512698412698415,3.0388888888888896,3.6412698412698417,5.134126984126984,41.56145833333334,7.343958333333334,10.273541666666668,5.382916666666667,28.274999999999995,10.1275,1.588125,0.010000000000000002,0.16125,1.3989583333333335,1.493125,1.6156249999999999,2.485,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry County,34929.0,70389.0,860193.43,2258.0,7202.0,360.0,36.62060739999999,-79.9806728,Matching and updated,54151.0,23151.0,561.0,15505.0,20140.0,15227.0,7827.0,9882.0,7712.0,51203.0,23943.0,10406.0,10111.0,37391.0,11315.0,220.0,4.0,81.0,2192.0,2172.0,1611.0,4141.0,44498.0,20921.0,8972.0,8743.0,32518.0,9957.0,182.0,4.0,70.0,1765.0,1727.0,1288.0,3638.0,278.0,115.0,64.0,50.0,205.0,66.0,0.0,0.0,3.0,5.0,5.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23727.0,11108.0,10656.0,39487.0,11841.0,237.0,4.0,97.0,2485.0,2545.0,1637.0,4053.0,0.932142857142857,20.857142857142858,46055.857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5592857142857,44.70928571428573,19.192857142857143,18.67642857142857,68.95142857142856,20.97142857142857,0.4064285714285715,0.005714285714285714,0.1485714285714286,4.075714285714286,4.032857142857142,7.119285714285714,18.31642857142857,82.56571428571426,39.26642857142857,16.634999999999998,16.207857142857144,60.154999999999994,18.69571428571428,0.3378571428571429,0.005714285714285714,0.12357142857142857,3.2521428571428577,3.1599999999999997,5.740714285714286,16.2,2.57,1.06,0.5866666666666667,0.4633333333333333,1.88,0.6233333333333333,0.0,0.0,0.016666666666666666,0.04666666666666667,0.04666666666666667,0.02666666666666667,0.49,,,,,,,,,,,,,
Highland County,2050.0,3953.0,102883.2,0.0,0.0,276.0,38.3566717,-79.5679583,Matching and updated,2321.0,1081.0,0.0,2313.0,2313.0,587.0,800.0,800.0,202.0,2321.0,802.0,346.0,579.0,2289.0,6.0,4.0,0.0,5.0,17.0,18.0,77.0,70.0,2321.0,802.0,346.0,579.0,2289.0,6.0,4.0,0.0,5.0,17.0,18.0,77.0,70.0,2313.0,800.0,345.0,578.0,2281.0,6.0,4.0,0.0,5.0,17.0,18.0,77.0,70.0,587.0,202.0,90.0,144.0,583.0,2.0,1.0,0.0,0.0,1.0,0.0,25.0,17.0,743.0,346.0,579.0,2289.0,6.0,4.0,0.0,5.0,17.0,18.0,81.0,73.0,0.0,12.3,54922.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,34.56,14.91,24.95,98.62,0.26,0.17,0.0,0.22,0.73,0.78,7.13,6.5,100.0,34.56,14.91,24.95,98.62,0.26,0.17,0.0,0.22,0.73,0.78,7.13,6.5,99.67,34.45,14.88,24.92,98.29,0.26,0.17,0.0,0.22,0.73,0.78,7.09,6.48,25.31,8.7,3.88,6.22,25.11,0.09,0.04,0.0,0.0,0.06,0.0,2.0,1.61
Hopewell City,957.0,14491.0,162643.0,0.0,0.0,72.0,37.2910098,-77.2989443,Matching and updated,22591.0,9129.0,237.0,8585.0,17347.0,8585.0,3263.0,7661.0,3263.0,17347.0,7661.0,4247.0,2652.0,10090.0,5971.0,155.0,22.0,64.0,1046.0,1119.0,519.0,1506.0,8585.0,3263.0,1950.0,1402.0,5575.0,2366.0,82.0,9.0,38.0,514.0,548.0,170.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10290.0,5673.0,3359.0,12515.0,8367.0,181.0,24.0,87.0,1417.0,1480.0,792.0,2098.0,1.0633333333333332,22.383333333333336,49607.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,71.55166666666666,32.01833333333333,17.808333333333334,10.110000000000001,39.80166666666667,26.651666666666667,0.5516666666666666,0.07666666666666667,0.3233333333333333,4.1499999999999995,4.501666666666667,6.059999999999999,16.825,40.833999999999996,15.896,9.442,6.146,26.594,11.309999999999999,0.31799999999999995,0.034,0.22600000000000003,2.3499999999999996,2.42,2.4859999999999998,9.102,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle Of Wight County,17412.0,39611.0,587049.0,540.0,7592.0,1008.0,36.901418400000004,-76.7075688,Matching and updated,35270.0,13718.0,310.0,9247.0,12637.0,9240.0,1575.0,2295.0,1574.0,32603.0,7463.0,7417.0,4803.0,23541.0,7963.0,245.0,11.0,107.0,736.0,595.0,480.0,1362.0,26929.0,5949.0,6045.0,4061.0,19833.0,6251.0,180.0,9.0,85.0,572.0,465.0,328.0,1105.0,7.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8499.0,8031.0,5165.0,25318.0,8712.0,281.0,15.0,126.0,818.0,658.0,631.0,1559.0,0.845,10.274999999999999,86419.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.86375000000001,20.7575,20.94625,13.5975,65.62375,23.17875,0.7,0.03,0.28125,2.0525,1.64625,3.37125,9.89875,74.81625,16.48,16.71875,11.381250000000001,54.510000000000005,18.03375,0.49375,0.0225,0.2125,1.54125,1.23375,2.25875,7.9325,0.2,0.02,0.04,0.04,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,,,,,,,
James City County,2563.0,7268.0,1334575.0,2361.0,32806.0,1380.0,37.32442730000001,-76.7783194,Matching and updated,67009.0,26860.0,1100.0,31314.0,47547.0,31314.0,5815.0,8803.0,5815.0,57869.0,10369.0,12474.0,12164.0,46592.0,7696.0,1191.0,48.0,172.0,2168.0,2447.0,721.0,1033.0,40992.0,7228.0,8912.0,8588.0,33430.0,5225.0,766.0,26.0,133.0,1413.0,1654.0,464.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13281.0,14385.0,13870.0,53792.0,8805.0,1506.0,55.0,197.0,2654.0,3024.0,1000.0,1203.0,2.5481818181818183,8.445454545454545,96562.36363636363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,84.81272727272727,16.680909090909093,18.081818181818182,17.964545454545455,66.91727272727272,12.378181818181817,1.7263636363636365,0.07090909090909091,0.2636363636363636,3.456363636363636,3.8372727272727274,2.900909090909091,4.763636363636364,59.32363636363637,11.675454545454546,12.79,12.412727272727274,47.55272727272727,8.205454545454545,1.110909090909091,0.03909090909090909,0.2,2.2163636363636363,2.583636363636364,1.9209090909090911,3.9790909090909095,,,,,,,,,,,,,,,,,,,,,,,,,,
King And Queen County,1585.0,21822.0,3023354.0,0.0,0.0,720.0,37.7143698,-76.901863,Matching and updated,6945.0,2882.0,0.0,733.0,733.0,0.0,346.0,346.0,0.0,6927.0,2703.0,1438.0,1200.0,4651.0,1969.0,17.0,0.0,111.0,179.0,183.0,91.0,265.0,6906.0,2693.0,1436.0,1196.0,4633.0,1966.0,17.0,0.0,111.0,178.0,182.0,90.0,264.0,733.0,346.0,160.0,115.0,383.0,307.0,3.0,0.0,17.0,23.0,6.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2711.0,1442.0,1203.0,4663.0,1975.0,17.0,0.0,111.0,179.0,184.0,86.0,259.0,0.0,16.3,64276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.77000000000001,38.305,20.68,17.36,67.63499999999999,27.740000000000002,0.255,0.0,1.545,2.5949999999999998,2.705,3.385,9.425,99.5,38.17,20.645,17.310000000000002,67.405,27.705,0.255,0.0,1.545,2.59,2.6799999999999997,3.38,9.4,18.88,8.9,4.13,2.95,9.87,7.91,0.07,0.0,0.43,0.6,0.17,0.26,1.34,,,,,,,,,,,,,
King George County,4111.0,11036.0,154484.0,1071.0,1552.0,660.0,38.27717869999999,-77.16270150000001,Matching and updated,23584.0,8376.0,301.0,2472.0,4245.0,2472.0,501.0,859.0,501.0,21887.0,4244.0,5980.0,2314.0,17007.0,3741.0,255.0,12.0,114.0,761.0,710.0,299.0,693.0,18842.0,3769.0,5117.0,2009.0,14870.0,3046.0,209.0,12.0,87.0,618.0,613.0,258.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4743.0,6540.0,2397.0,18089.0,4214.0,274.0,12.0,122.0,873.0,790.0,332.0,793.0,1.0539999999999998,5.779999999999999,98674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.116,18.273999999999997,25.128,9.996,72.03,16.39,1.098,0.064,0.44400000000000006,3.0960000000000005,2.9000000000000004,3.528,7.797999999999999,80.72,16.442,21.57,8.898,63.21999999999999,13.680000000000001,0.906,0.064,0.32599999999999996,2.522,2.516,3.1020000000000003,6.924000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
King William County,1863.0,37910.0,239742.0,0.0,0.0,1140.0,37.70826039999999,-77.09105389999999,Matching and updated,15935.0,5979.0,72.0,2166.0,3454.0,1481.0,456.0,726.0,322.0,15154.0,3547.0,3750.0,1833.0,11735.0,2657.0,104.0,3.0,220.0,437.0,287.0,135.0,388.0,13303.0,3134.0,3254.0,1610.0,10220.0,2439.0,67.0,2.0,207.0,368.0,220.0,113.0,353.0,685.0,134.0,164.0,85.0,470.0,179.0,0.0,0.0,17.0,19.0,16.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3876.0,3935.0,1970.0,12297.0,2819.0,118.0,3.0,231.0,467.0,324.0,156.0,416.0,0.5199999999999999,10.325,73962.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.475,22.735,23.0875,12.07,71.16499999999999,18.009999999999998,0.6525000000000001,0.0125,1.76,2.8775000000000004,1.855,2.765,6.21,82.09,19.9875,19.737499999999997,10.5475,61.0675,16.535,0.3825,0.01,1.6800000000000002,2.4124999999999996,1.3975,2.355,5.6275,10.325,2.35,2.41,1.415,6.425,3.25,0.0,0.0,0.33,0.325,0.335,0.395,0.785,,,,,,,,,,,,,
